traffic,fire,crime,suicide,virus,env,sexual,health,atmos,cctv,police,firefight,evac,safety
316.93,163,4399,30.1,133,334427,9,162,18.5,1120,6,5,21,1.666667
654.48,70,5289,33.5,78,148585,5,141,22.75,754,6,2,53,4.666667
444.35,76,3465,28,256,79020,6,144,23,454,5,7,74,4
546.51,89,4950,22.7,161,2000,6,171,17.42,649,6,3,29,4.166667
288.91,94,3081,28,240,34450,9,145,18.92,501,5,4,142,3.333333
426.26,285,15567,27.6,585,27300,16,773,17.5,87,10,8,93,3.833333
365.51,150,8049,21.9,428,109827,11,457,19.83,848,7,4,126,2.666667
279.37,162,12275,18,360,344249,8,347,18,1120,6,3,116,2.333333
242.66,121,7118,25.8,281,5000,19,354,24,661,6,4,99,2.5
225.31,215,11551,25.8,493,237800,14,633,22.33,257,10,8,118,3.166667
307.06,226,8166,24.4,569,734121,29,413,20.83,601,7,6,84,2.333333
346.73,151,6971,25.9,309,142856,6,343,20.5,35,6,6,87,3.333333
512,243,4206,19.6,203,1146,7,82,23.14,575,10,5,26,3.166667
354.41,102,8145,25.3,296,168197,9,353,20.17,410,7,3,132,2.5
373.9,103,5138,19.4,228,12600,6,297,23.42,704,4,3,128,2.833333
425,190,7397,27,316,9668,25,239,24.83,444,6,6,94,3.666667
274.81,101,4897,29.7,495,2503,7,228,19.5,890,9,7,151,2.833333
391.96,173,16685,27.1,932,29018,57,608,20.16,4298,7,7,119,3.166667
346.38,89,9622,24.8,299,749119,6,183,19.62,719,7,3,113,2.666667
301.37,125,7448,16.9,503,49653,10,151,21.23,676,5,3,48,2.333333
322.72,249,14185,24.4,358,2915302,6,176,19.17,666,11,5,55,1.833333
283.56,647,30027,23,802,3321544,56,1247,17.96,2563,14,26,588,2.166667
185.97,260,9107,21,1259,162944,29,414,17,1088,14,6,146,2.833333
519.04,122,7163,30.7,62,1393052,8,148,18.08,3471,9,7,107,3.333333
547.21,135,3808,26.2,348,179767,9,124,16.83,1950,9,5,33,3.333333
376.4,431,18220,26.2,752,831818,48,520,20.92,3560,14,13,81,2.833333
461.74,207,3017,20.8,121,834523,13,110,17.67,196,11,6,27,3.833333
342.89,193,7542,32.3,521,751634,20,218,18.58,648,9,7,103,2.5
346.36,201,10519,27.1,415,297462,26,341,20.16,1403,13,8,39,2.5
457.88,89,4115,12.1,9,463437,3,26,18.5,602,8,1,8,3.333333
437.1,123,5194,27,32,919349,7,54,17.33,833,8,3,15,2.833333
520.16,107,3518,19.3,51,378959,9,65,21,58,8,3,17,2.833333
489.54,110,4995,19.8,24,153775,10,48,15.33,296,13,2,16,3.333333
473.27,83,3781,29,30,538103,1,45,18.83,130,7,2,9,3.166667
256.33,128,7198,24.6,84,250242,7,46,16,194,10,3,10,2.833333
516.51,92,6915,13.9,45,243763,3,31,17,248,6,2,7,3.5
384.5,99,3558,21.1,27,69617,2,38,17,136,8,2,10,3.5
408.03,74,4780,21.6,40,415307,3,63,18.5,294,8,2,21,2.833333
484.5,111,5589,11.6,52,534968,6,44,16,459,8,0,19,3.333333
366.88,5881,305909,18.7,44064,126000,494,17142,24.08,37721,274,100,3305,2.5
534.88,1323,75707,24.9,9958,28971,169,3664,22.35,2011,71,64,766,3.333333
288.2,1499,93347,22.5,6215,10406647,226,3201,22.89,1944,84,57,797,2.833333
518.8,844,44102,21.9,2810,26355,113,2062,22.77,941,37,35,584,2.166667
480.93,878,45047,24.8,2097,6566,89,2178,21.15,1438,35,31,740,3.833333
233.04,191,6095,21.3,483,38850,10,300,24.61,232,11,11,139,3.333333
601.31,607,27594,28.1,1042,2547534,46,827,17.87,498,29,26,400,3.5
366.64,454,41697,22.5,2513,6300,76,1528,23.61,455,26,12,199,1.833333
381.05,473,28066,20.2,3628,5405,56,1561,22.12,496,17,15,264,2.333333
363.38,212,14283,23.6,1423,2700,49,517,23.33,306,6,5,105,3.166667
240.22,304,14768,18.7,1718,4500,27,823,23.46,224,12,8,208,1.833333
399.15,377,28107,22.9,2637,8770,70,1072,30.86,354,17,10,228,2
318.08,148,8557,19.6,1006,9612,8,398,24.35,163,6,6,76,1.833333
569.16,516,23500,24.9,2051,493627,49,496,27.82,661,16,12,107,3.166667
336.79,105,3142,28.4,445,66538,11,92,25.33,196,6,3,54,3.666667
556.65,484,25123,27.2,1865,19203,55,729,21.65,364,22,12,142,2.5
328.77,524,27903,17.4,3244,879364,58,1169,23.79,441,8,13,280,2
294.97,38,1679,20,190,7467,0,68,22.13,257,3,3,19,2
381.18,108,6983,23,812,5541,7,220,26.09,73,5,3,56,2.166667
312.99,394,15521,19.8,2167,62275,28,608,25.28,420,17,9,87,2.166667
456.15,119,7266,23.1,489,29800,30,146,26.5,156,4,4,67,2
429.96,393,17456,24.9,1080,40437,47,398,30.25,128,12,7,135,2.333333
253.18,127,5554,14.9,942,1950,13,300,25.35,151,4,3,76,2
251.13,105,3114,17.7,358,900,6,148,26.75,142,5,4,89,1.5
403.22,206,5898,20.5,788,8007,6,226,20.5,323,6,7,60,1.833333
299.02,479,21538,19.4,2881,50465,31,990,23.31,560,22,12,257,1.5
